catg,subcatg,entity,count,TA_score
Cafeteras y hervidores,Tipos de Cafeteras,russell hobbs,1,43.62
Cafeteras y hervidores,Tipos de Cafeteras,sabor,28,55.7
Cafeteras y hervidores,Mantenimiento y Limpieza,sabor amargo,1,24.88
Batidoras,Equipos de Cocina,sabor dulce,1,46.75
Cafeteras y hervidores,Tipos de Cafeteras,saeco,2,35.8
Cafeteras y hervidores,Mantenimiento y Limpieza,sal común,16,64.44
Aspiradoras,Accesorios y Recambios,salamanca,1,22.31
Batidoras,Equipos de Cocina,salsa (gastronomía),1,37.06
Batidoras,Equipos de Cocina,salud,37,60.75
Cuidado del aire,Mantenimiento del Aire,salón,1,37.4
Altavoces,Dispositivos Inteligentes de Sonido,samsung,16,44.12
Aspiradoras,Marcas Destacadas de Aspiradoras,san adrián de besós,1,51.12
Aspiradoras,Marcas Destacadas de Aspiradoras,san sebastián,1,61.97
Aspiradoras,Marcas Destacadas de Aspiradoras,sardina,1,46.44
Cocinas,Tipología de Cocinas,sartén,10,43.9
Cocinas,Diseño y Distribución,saturación (color),1,90.8
Cocinas,Equipamiento y Accesorios,schuko,1,57.88
Aspiradoras,Marcas Destacadas de Aspiradoras,scophthalmus maxima,1,58.62
Aspiradoras,Aspiradoras para Mascotas,secador de pelo,5,51.2
Cocinas,Equipamiento y Accesorios,secadora,19,74.44
Cuidado del aire,Mantenimiento del Aire,seda,1,65.56
Aspiradoras,Accesorios y Recambios,segovia,1,23.23
Batidoras,Equipos de Cocina,semilla,1,42.3
Aspiradoras,Aspiradoras Robotizadas,sensor,18,48.25
Aspiradoras,Aspiradoras Robotizadas,sensor infrarrojo,2,46.62
Cuidado del aire,Mantenimiento del Aire,sequía,2,54.9
Aspiradoras,Tipología de Aspiradoras,serie 6000,2,33.88
Aires acondicionados,Tecnología Inverter,servicio de atención al cliente,4,56.9
Aspiradoras,Marcas Destacadas de Aspiradoras,sevilla,1,55.53
Altavoces,Opciones de Potencia y Rendimiento,señal de audio,8,40.22
Altavoces,Opciones de Potencia y Rendimiento,señal eléctrica,1,52.47
Cafeteras y hervidores,Tipos de Cafeteras,siemens ag,3,54.75
Aspiradoras,Aspiradoras Sin Cable,silicona,12,40.47
Cocinas,Mantenimiento y Limpieza,simple vista,6,51.8
Barras de sonido,Integración de Sonido Inteligente,sinfonía,1,24.95
Altavoces,Altavoces Portátiles Avanzados,siri,1,39.6
Aspiradoras,Aspiradoras Robotizadas,sistema de control,1,31.22
Aspiradoras,Aspiradoras Sin Cable,sistema de navegación para automóviles,3,37.38
Cuidado del aire,Neutralización de Olores,sistema de suministro eléctrico,1,51.7
Aspiradoras,Marcas Destacadas de Aspiradoras,sistema global de navegación por satélite,2,31.6
Altavoces,Dispositivos Inteligentes de Sonido,sistema operativo,10,57.1
Altavoces,Configuración y Conectividad,sitio web,1,51.72
Cocinas,Tipología de Cocinas,smeg,9,48.2
Batidoras,Equipos de Cocina,smoothie,2,56.38
Cafeteras y hervidores,Tipos de Cafeteras,snack,2,57.9
Cafeteras y hervidores,Mantenimiento y Limpieza,sodio,15,50.56
Altavoces,Dispositivos Inteligentes de Sonido,software,4,45.4
Cuidado del aire,Aromatización del Espacio,sofá,27,62.44
Cocinas,Equipamiento y Accesorios,sol,5,45.3
Cafeteras y hervidores,Tipos de Cafeteras,solanum tuberosum,6,55.7
Cafeteras y hervidores,Accesorios y Complementos,solubilidad,1,17.05
Altavoces,Opciones de Potencia y Rendimiento,sonido,8,42.75
Altavoces,Opciones de Potencia y Rendimiento,sonido envolvente,7,56.4
Altavoces,Opciones de Potencia y Rendimiento,sonora,3,39.3
Barras de sonido,Integración de Sonido Inteligente,sony,1,55.16
Cocinas,Equipamiento y Accesorios,sostenibilidad,5,44.75
Aires acondicionados,Tecnología Inverter,split,1,20.27
Cocinas,Equipamiento y Accesorios,standby,3,49.47
Cafeteras y hervidores,Tipos de Cafeteras,starbucks,2,55.53
Aspiradoras,Tipología de Aspiradoras,steam,4,46.03
Barras de sonido,Integración de Sonido Inteligente,streaming,1,63.47
Aspiradoras,Aspiradoras para Mascotas,suavizante,6,46.03
Barras de sonido,Asistentes de Voz Integrados,subwoofer,4,40.6
Aspiradoras,Marcas Destacadas de Aspiradoras,succión,40,35.84
Aspiradoras,Tipología de Aspiradoras,suciedad,50,44.44
Cuidado del aire,Aromatización del Espacio,sudor,22,54.62
Aspiradoras,Tipología de Aspiradoras,suelo,2,50.44
Aspiradoras,Marcas Destacadas de Aspiradoras,supermercado,20,64.7
Cuidado del aire,Aromatización del Espacio,syzygium aromaticum,23,65.9
Cafeteras y hervidores,Métodos de Preparación,síbaris,3,42.4
Cuidado del aire,Mantenimiento del Aire,síntoma,1,51.28
Cocinas,Diseño y Distribución,tabla de cortar,3,44.38
Cocinas,Renovación y Decoración,tablero de fibra de densidad media,4,80.8
Aires acondicionados,Tecnología Inverter,tableta (computadora),3,45.84
Cafeteras y hervidores,Tipos de Cafeteras,tanque de agua,34,41.72
Cocinas,Tipología de Cocinas,tanque de gas,3,76.8
Batidoras,Equipos de Cocina,tapa (alimento),4,48.62
Aspiradoras,Marcas Destacadas de Aspiradoras,tapicero,28,56.28
Cocinas,Equipamiento y Accesorios,tarifa eléctrica con discriminación horaria,3,53.1
Barras de sonido,Integración de Sonido Inteligente,tarragona,2,38.44
Cafeteras y hervidores,Tipos de Cafeteras,taza,1,57.56
Altavoces,Dispositivos Inteligentes de Sonido,tcl,1,46.38
Cocinas,Equipamiento y Accesorios,teclado (informática),3,45.56
Aspiradoras,Marcas Destacadas de Aspiradoras,tecnología,83,50.9
Cocina al vapor,Utensilios de Cocina Vapor,tefal,4,41.62
Cuidado del aire,Aromatización del Espacio,tejido (textil),29,64.7
Cafeteras y hervidores,Tipos de Cafeteras,teka,2,67.1
Cafeteras y hervidores,Tipos de Cafeteras,teka (equipo ciclista),10,40.47
Aspiradoras,Marcas Destacadas de Aspiradoras,telde,1,62.03
Cocinas,Equipamiento y Accesorios,teletrabajo,3,47.8
Altavoces,Dispositivos Inteligentes de Sonido,televisión,12,63.16
Aires acondicionados,Tecnología Inverter,televisión de alta definición,10,57.0
Altavoces,Dispositivos Inteligentes de Sonido,televisión inteligente,10,76.25
Aires acondicionados,Tecnología Inverter,televisor,15,50.1
Aspiradoras,Aspiradoras Robotizadas,teléfono,11,47.12
Aires acondicionados,Tecnología Inverter,teléfono inteligente,9,45.97
Aires acondicionados,Tecnología Inverter,teléfono móvil,1,24.19
Aires acondicionados,Tecnología Inverter,temperatura,53,54.03
Aires acondicionados,Manuales y Guías,temperatura ambiente,1,31.42
Cocinas,Equipamiento y Accesorios,temperatura de color,1,41.9
Cafeteras y hervidores,Tipos de Cafeteras,temporizador,22,46.38
Cuidado del aire,Control de Humedad,tendedero,7,68.06
Aspiradoras,Marcas Destacadas de Aspiradoras,tenerife,1,68.8
Aspiradoras,Marcas Destacadas de Aspiradoras,tensión (electricidad),6,38.8
Cocinas,Tipología de Cocinas,termopar,4,59.8
Aires acondicionados,Tecnología Inverter,termorregulación,1,61.4
Aires acondicionados,Mecanismos de Calefacción,termostato,13,64.06
Cafeteras y hervidores,Tipos de Cafeteras,tesco,2,39.94
Cafeteras y hervidores,Tipos de Cafeteras,textura en boca,4,43.28
Cafeteras y hervidores,Tipos de Cafeteras,tft lcd,2,57.1
Cafeteras y hervidores,Tipos de Cafeteras,theobroma cacao,1,44.8
Aspiradoras,Marcas Destacadas de Aspiradoras,thunnus,1,59.2
Cuidado del aire,Aromatización del Espacio,tibia,23,49.2
Aspiradoras,Accesorios y Recambios,tiempo de vida útil,1,56.0
Cafeteras y hervidores,Tipos de Cafeteras,tiempo real,1,26.77
Aspiradoras,Marcas Destacadas de Aspiradoras,tiro deportivo,1,46.97
Batidoras,Equipos de Cocina,titanio,4,44.12
Cocinas,Renovación y Decoración,tiza,4,55.44
Aspiradoras,Aspiradoras para Mascotas,toalla,5,35.28
Aspiradoras,Marcas Destacadas de Aspiradoras,tobera,1,46.1
Aspiradoras,Aspiradoras Robotizadas,toledo,1,30.14
Batidoras,Equipos de Cocina,tomate,1,47.28
Cocinas,Diseño y Distribución,tonalidad (música),1,86.5
Cocinas,Diseño y Distribución,tono (color),3,61.8
Cafeteras y hervidores,Métodos de Preparación,torrefacto,3,62.1
Cuidado del aire,Control de Humedad,torrevieja,1,23.0
Cocinas,Diseño y Distribución,tostadora,1,79.2
Altavoces,Opciones de Potencia y Rendimiento,transporte,5,55.38
Cocinas,Mantenimiento y Limpieza,trapo,9,84.4
Aspiradoras,Tipología de Aspiradoras,trineo,16,40.12
Cocinas,Diseño y Distribución,triángulo,1,93.8
Cocinas,Diseño y Distribución,tubería,1,56.16
Aspiradoras,Accesorios y Recambios,turbina,2,40.03
Aspiradoras,Tipología de Aspiradoras,turbocompresor,11,47.75
Aspiradoras,Marcas Destacadas de Aspiradoras,turbofán,1,54.62
,Tipología de Aspiradoras,turquesa (color),1,52.4
Altavoces,Dispositivos Inteligentes de Sonido,tvs,1,37.56
Altavoces,Altavoces Portátiles Avanzados,tweeter,1,32.1
Batidoras,Equipos de Cocina,té,52,68.06
Aspiradoras,Tipología de Aspiradoras,ultraligero,4,34.9
Aspiradoras,Marcas Destacadas de Aspiradoras,ultrasonido,3,58.1
Altavoces,Opciones de Potencia y Rendimiento,universal serial bus,7,47.75
Altavoces,Opciones de Potencia y Rendimiento,usuario (informática),4,58.16
Cocina al vapor,Recetas de Alimentos al Vapor,utensilio de cocina,18,40.72
Batidoras,Equipos de Cocina,uva,1,57.28
Cocinas,Tipología de Cocinas,vacío,9,48.9
Cocinas,Diseño y Distribución,vajilla,3,51.03
Aspiradoras,Marcas Destacadas de Aspiradoras,valencia,5,54.4
Cocinas,Tipología de Cocinas,valladolid,1,62.1
Aspiradoras,Marcas Destacadas de Aspiradoras,vanguardismo,2,62.8
Cuidado del aire,Aromatización del Espacio,vanilla planifolia,22,68.94
Cafeteras y hervidores,Tipos de Cafeteras,vapor,10,56.3
Cafeteras y hervidores,Tipos de Cafeteras,vapor (estado),5,57.9
Cafeteras y hervidores,Tipos de Cafeteras,vapor de agua,1,54.9
Cocinas,Mantenimiento y Limpieza,vaselina,6,65.4
Cocinas,Equipamiento y Accesorios,vatihorímetro,3,57.38
Cocinas,Equipamiento y Accesorios,vatio,5,43.3
Cocinas,Equipamiento y Accesorios,vatio-hora,1,52.75
Cocinas,Equipamiento y Accesorios,vatímetro,3,41.1
Barras de sonido,Integración de Sonido Inteligente,vector (informática),1,34.7
Aspiradoras,Marcas Destacadas de Aspiradoras,veganismo,1,63.1
Aspiradoras,Marcas Destacadas de Aspiradoras,vegetarianismo,1,63.16
Altavoces,Altavoces Portátiles Avanzados,vehículo,1,15.05
Aspiradoras,Marcas Destacadas de Aspiradoras,velocidad,12,34.66
Cafeteras y hervidores,Tipos de Cafeteras,venecia,1,25.19
Aires acondicionados,Tecnología Inverter,ventana,3,62.62
Cuidado del aire,Aromatización del Espacio,ventilación (arquitectura),25,70.5
Aires acondicionados,Mecanismos de Calefacción,ventilador,49,61.47
Aspiradoras,Marcas Destacadas de Aspiradoras,ventilador de techo,2,63.25
Aspiradoras,Marcas Destacadas de Aspiradoras,ventisca,1,52.12
Aires acondicionados,Mecanismos de Calefacción,verano,13,44.0
Aspiradoras,Tipología de Aspiradoras,verde,4,43.2
Cafeteras y hervidores,Tipos de Cafeteras,verde esmeralda,1,39.06
Batidoras,Equipos de Cocina,verdura,27,69.7
Aspiradoras,Accesorios y Recambios,vida útil,1,49.28
Barras de sonido,Integración de Sonido Inteligente,video,3,44.38
Altavoces,Configuración y Conectividad,videoconsola,2,48.88
Altavoces,Configuración y Conectividad,videojuego,3,54.9
Altavoces,Configuración y Conectividad,videojuego para móviles,1,51.0
Cocinas,Tipología de Cocinas,vidrio,7,61.2
Aires acondicionados,Tecnología Inverter,viernes negro (compras),1,33.22
Cocinas,Equipamiento y Accesorios,vigo,1,36.28
Cocinas,Equipamiento y Accesorios,vinagre,53,66.06
Cocinas,Mantenimiento y Limpieza,vinagre blanco,7,58.0
Cuidado del aire,Aromatización del Espacio,vinagre de sidra de manzana,22,61.3
Cocina al vapor,Técnicas de Cocción Vapor,vino,21,72.25
Cocinas,Mantenimiento y Limpieza,vino tinto,6,79.56
Cocinas,Tipología de Cocinas,vintage,3,46.4
Cocinas,Equipamiento y Accesorios,visualizador,6,42.44
Batidoras,Equipos de Cocina,vitamina,6,59.4
Altavoces,Opciones de Potencia y Rendimiento,vivienda,10,52.56
Aspiradoras,Marcas Destacadas de Aspiradoras,vizcaya,1,57.03
Aspiradoras,Marcas Destacadas de Aspiradoras,voltio,1,26.23
Aspiradoras,Tipología de Aspiradoras,válvula,16,47.16
Aspiradoras,Tipología de Aspiradoras,válvula de alivio de presión,18,45.47
Cuidado del aire,Neutralización de Olores,whirlpool,2,29.55
Cuidado del aire,Control de Humedad,whirlpool corporation,2,34.78
Aires acondicionados,Tecnología Inverter,wifi,20,39.7
Cocinas,Equipamiento y Accesorios,wok,2,47.8
Altavoces,Altavoces Portátiles Avanzados,woofer,1,55.62
Aspiradoras,Marcas Destacadas de Aspiradoras,world wide web,2,71.56
Barras de sonido,Integración de Sonido Inteligente,xbox (marca),1,41.44
Barras de sonido,Integración de Sonido Inteligente,xbox one,1,41.84
Aspiradoras,Aspiradoras Robotizadas,xiaomi,6,48.2
Batidoras,Equipos de Cocina,yogur,1,49.53
Cafeteras y hervidores,Tipos de Cafeteras,zaragoza,2,27.38
Aspiradoras,Marcas Destacadas de Aspiradoras,zarauz,1,62.6
Cocina al vapor,Técnicas de Cocción Vapor,zea mays,2,61.75
Aspiradoras,Marcas Destacadas de Aspiradoras,zumárraga,1,53.12
Cafeteras y hervidores,Tipos de Cafeteras,¡hola!,15,35.5
Cafeteras y hervidores,Mantenimiento y Limpieza,ácido,13,55.8
Aspiradoras,Marcas Destacadas de Aspiradoras,álava,1,50.44
Cuidado del aire,Mantenimiento del Aire,átomo,1,73.06
Aspiradoras,Marcas Destacadas de Aspiradoras,ávila,1,61.1
Aspiradoras,Marcas Destacadas de Aspiradoras,éibar,1,52.2
Altavoces,Altavoces Portátiles Avanzados,óptica,1,38.03
